PageNum,URL,Rating,Date,Title,Review
2,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"Reviewed in the United States on March 24, 2020",Alexa doesnt shut up,Alexa doesnt stop asking what animal sound you want next and explaining every thing over and over. The worst.
2,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,2.0 out of 5 stars,"Reviewed in the United States on April 19, 2020",just play the sounds,it is fun but the game isnt fun just play random sounds
2,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"Reviewed in the United States on February 19, 2020",Won't shut up!!,Incredibly annoying. Just keeps asking open ended questions
2,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"Reviewed in the United States on November 20, 2018",She has no clue as to how to make the sound of a goat,Alexa make the sound of a goat I've heard it described as a bleak making the sound of an old man singing a Taylor Swift song
2,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,2.0 out of 5 stars,"Reviewed in the United States on January 22, 2020",not for young kids,too complicated for young kids.
3,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"Reviewed in the United States on February 11, 2020",terrible,terrible skill! this used to be easy and now this app makes it impossible to hear quick animal sounds
3,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"Reviewed in the United States on February 16, 2019",Can’t give parental permission,"The skill requires parental permission to use, but still asks for it even when permission is given. This makes the skill unusable."
3,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"Reviewed in the United States on May 12, 2020",I agree with thenother reviews,"Alexa talks way too much. Make it to where she doesnt say the same thing after each sound. Actually, she doesnt need to say anything."
3,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"Reviewed in the United States on February 27, 2020",The.  Worst.,"Alexa needs new algorythms.  Amazon needs to cut out the add ons, and have alexa simply reapond to a command vs talking for 3 minutes."
3,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"Reviewed in the United States on January 27, 2020",Alexa doesnt recognize this skill,Doesnt work
3,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5.0 out of 5 stars,"Reviewed in the United States on October 21, 2017",I don’t understand the bad reviews,"Mine works just fine and has a TON of sounds!!  My kids love it!!  Here are the sounds that I know work (& I know there are a lot more):  cow, horse, dog, cat, goat, sheep, pig, chicken, rooster, owl, frog, snake, parrot, parakeet, nightingale, butterfly, peacock, duck, geese, seagull, raccoon, seal, wolf, rhinoceros, crow, fox, camel, alligator, crocodile, zebra, dolphin, whale, lion, tiger, bear, coyote, hyena, monkey, gorilla, chimpanzee, cheetah, panther, bobcat, alpaca, penguin, cricket, elephant, leopard. There are a few that should be there but aren’t like a donkey and a hippopotamus. Anyway, the people that say there aren’t very many sounds just aren’t very creative in thinking of animals."
3,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"Reviewed in the United States on March 1, 2020",hacked or broken,"As others have said, Alexa won't stop talking in between animal sounds and continues making sounds without your input.  It's also virtually impossible to get the skill to stop; multiple times we said ""Alexa off,"" ""Alexa stop,"" etc. but each time she would make a farting noise at us and go back into her loop about how she can make any animal sound."
3,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"Reviewed in the United States on April 4, 2020",annoyling verbose,just shut up. why do you have to talk so much. why do you have to say the same thing over and over and over and over again. this could have been really fun. but instead its annoying because it say the same thing over and ovet and over again
3,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"Reviewed in the United States on April 19, 2020",alexa talks too much,just play what we want to hear. stop asking questions
3,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,4.0 out of 5 stars,"Reviewed in the United States on September 6, 2016",Really fun skill to have if you have small children.,"Really fun for toddlers. My 3 yo has a lot of fun with it. Dropping one star for two issues: First, it still lacks many popular animals, e.g. kangaroo, camel. Second, found a bug with the sound of ""fox"" where it goes into a non-stop loop."
4,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"Reviewed in the United States on June 4, 2020",Sounds are way too short and alexa talks 5 times as much in between sounds,Sounds are way too short and alexa talks 5 times as much in between sounds
4,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"Reviewed in the United States on February 27, 2020",Used to love this skill.,"My toddler and I used to spend quite a bit of time asking alexa to play different animal sounds, and she still regularly asks to do it. but now we spend most of that time listening to Alexa talk and play airplane sounds for no reason. The intended audience of this skill is having an awful experience with it now, please change it back."
4,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"Reviewed in the United States on February 13, 2020",Terrible,Alexa wont stop talking
4,https://www.amazon.com/Rain-Labs-Animal-Sounds/product-reviews/B01AHGU3M6/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"Reviewed in the United States on July 11, 2020",worse than amazons own echo ability to make animal sounds,keeps talking more than making animal sounds
